x,y,yaw,steeringAngle,velocity,srate
-24.8729,-225.649,0.986895,-0.00524979,-20,-0.00879403
-25.9755,-227.318,0.992145,-0.00625472,-20,-0.0100493
-27.0693,-228.992,0.9984,-0.00689609,-20,-0.00641367
-28.1526,-230.673,1.0053,-0.00744287,-20,-0.00546785
-29.2243,-232.362,1.01274,-0.0078805,-20,-0.00437626
-30.2833,-234.059,1.02062,-0.00829178,-20,-0.00411282
-31.329,-235.763,1.02891,-0.00866004,-19.9999,-0.00368258
-32.3605,-237.477,1.03757,-0.00899145,-20,-0.00331415
-33.3771,-239.199,1.04656,-0.0093169,-20,-0.00325443
-34.3782,-240.931,1.05588,-0.0095408,-19.9999,-0.00223903
-35.3632,-242.671,1.06542,-0.0097256,-20,-0.00184803
-36.3314,-244.421,1.07515,-0.00990457,-20,-0.00178968
-37.2826,-246.181,1.08505,-0.0100776,-20,-0.00173025
-38.2164,-247.949,1.09513,-0.010142,-20,-0.000643781
-39.1322,-249.727,1.10527,-0.010178,-20,-0.000360747
-40.03,-251.514,1.11545,-0.0101782,-20,-1.54785e-06
-40.9096,-253.311,1.12563,-0.0101782,-20,0
-41.7708,-255.116,1.13581,-0.0101782,-20,0
-42.6136,-256.93,1.14599,-0.0101782,-20,0
-43.4379,-258.752,1.15617,-0.0101782,-20,0
-44.2436,-260.582,1.16634,-0.0101782,-20,0
-45.0306,-262.421,1.17652,-0.0101782,-20,0
-45.7989,-264.267,1.1867,-0.0101782,-20,0
-46.5483,-266.122,1.19688,-0.0101782,-20,0
-47.2788,-267.984,1.20706,-0.0101782,-20,0
-47.9904,-269.853,1.21724,-0.0101782,-20,0
-48.6829,-271.729,1.22742,-0.0101782,-20,0
-49.3562,-273.612,1.23759,-0.0101782,-20,0
-50.0103,-275.502,1.24777,-0.0101782,-20,0
-50.6452,-277.399,1.25795,-0.0101782,-20,0
-51.2607,-279.302,1.26813,-0.0109437,-20,-0.00765534
-51.8569,-281.211,1.27907,-0.0118323,-20,-0.00888593
-52.4321,-283.126,1.29091,-0.0125588,-20,-0.00726423
-52.9846,-285.048,1.30347,-0.0132837,-20,-0.00724927
-53.5129,-286.977,1.31675,-0.0136638,-20,-0.0038014
-54.0155,-288.913,1.33042,-0.0139248,-20,-0.00260957
-54.4917,-290.856,1.34434,-0.0140992,-20,-0.0017439
-54.9407,-292.805,1.35844,-0.0141889,-20,-0.000897745
