step,x_exact,y_exact,yaw_exact,steeringAngle_exact,x_approx,y_approx,yaw_approx,steeringAngle_approx,error
103,-13.0185,1.99184,17.4697,0.290591,-13.1379,2.50561,17.4417,0.290591,0.316554
104,-12.8091,1.27167,17.5617,0.240592,-12.9483,1.77671,17.5334,0.240592,0.322117
105,-12.5482,0.568514,17.6341,0.190592,-12.707,1.06452,17.6055,0.190592,0.327415
106,-12.2503,-0.119807,17.6871,0.140593,-12.4287,0.36695,17.6585,0.140593,0.332549
107,-11.9292,-0.797584,17.7212,0.0905931,-12.1271,-0.320198,17.6924,0.0905931,0.337613
108,-11.592,-1.46748,17.7452,0.0637644,-11.8092,-0.999735,17.7163,0.0637644,0.342476
109,-11.2455,-2.13264,17.759,0.0369358,-11.482,-1.67468,17.7302,0.0369358,0.347236
110,-10.8964,-2.79648,17.7628,0.0101071,-11.1523,-2.34832,17.7339,0.0101071,0.351986
111,-10.5516,-3.46249,17.7565,-0.0167215,-10.8268,-3.02402,17.7277,-0.0167215,0.35682
112,-10.2177,-4.13405,17.7402,-0.0435502,-10.5123,-3.70503,17.7113,-0.0435502,0.361834
113,-9.90161,-4.8142,17.7138,-0.0703788,-10.2159,-4.39425,17.6849,-0.0703788,0.367118
114,-9.61063,-5.50546,17.6772,-0.0972075,-9.94475,-5.09406,17.6484,-0.0972075,0.372761
115,-9.35227,-6.20955,17.6304,-0.124036,-9.70649,-5.80607,17.6016,-0.124036,0.378851
116,-9.13445,-6.92723,17.5734,-0.150865,-9.50903,-6.53087,17.5447,-0.150865,0.385467
117,-8.95203,-7.6547,17.5245,-0.129856,-9.34736,-7.26416,17.4957,-0.129856,0.392937
118,-8.79956,-8.38904,17.4835,-0.108848,-9.21591,-8.00319,17.4548,-0.108848,0.401099
119,-8.67142,-9.12802,17.4505,-0.0878397,-9.10895,-8.74594,17.4218,-0.0878397,0.409804
120,-8.56187,-9.86997,17.4254,-0.0668313,-9.02069,-9.49096,17.3967,-0.0668313,0.418914
121,-8.46509,-10.6137,17.4082,-0.045823,-8.94526,-10.2373,17.3795,-0.045823,0.428297
122,-8.37524,-11.3583,17.3989,-0.0248146,-8.87678,-10.9842,17.3702,-0.0248146,0.437833
